id,S,L,pred,herb,mutu,para
1036,49,79,0,0,0,79
1038,56,174,0,0,0,174
1055,38,73,0,0,0,73
1045,47,198,0,0,0,198
1046,17,35,0,0,0,35
1051,17,29,0,0,0,29
1024,14,19,0,0,0,19
1056,53,197,0,0,0,197
1058,56,202,0,0,0,202
1023,27,52,0,0,0,52
1019,33,103,0,0,0,103
1020,30,68,0,0,0,68
1115,26,70,41,29,0,0
1065,33,182,145,12,0,0
1066,26,103,74,11,0,0
1064,38,242,197,15,0,0
1069,22,83,60,8,0,0
1067,27,132,99,13,0,0
1071,6,4,0,0,4,0
1070,11,10,0,0,10,0
1072,5,4,0,0,4,0
1074,7,6,0,0,6,0
1079,6,4,0,0,4,0
1080,8,4,0,0,4,0
1073,9,8,0,0,8,0
1078,8,7,0,0,7,0
1083,10,8,0,0,8,0
1084,9,7,0,0,7,0
1081,8,7,0,0,7,0
1082,8,6,0,0,6,0
1077,8,7,0,0,7,0
1085,7,4,0,0,4,0
1075,8,7,0,0,7,0
1076,5,3,0,0,3,0
1364,29,34,0,0,34,0
1333,52,70,0,0,70,0
1316,16,14,0,0,14,0
1384,16,15,0,0,15,0
1374,37,51,0,0,51,0
1388,17,19,0,0,19,0
1379,44,65,0,0,65,0
1351,38,42,0,0,42,0
1390,22,19,0,0,19,0
1395,31,45,0,0,45,0
1387,18,18,0,0,18,0
1361,14,15,0,0,15,0
1389,30,38,0,0,38,0
1298,29,32,0,0,32,0
1407,10,8,0,0,8,0
1321,25,30,0,0,30,0
1393,23,27,0,0,27,0
1355,16,19,0,0,19,0
1345,13,12,0,0,12,0
1368,11,9,0,0,9,0
1373,43,59,0,0,59,0
1370,13,12,0,0,12,0
1424,27,35,0,0,35,0
1363,14,14,0,0,14,0
1381,25,26,0,0,26,0
1396,29,30,0,0,30,0
1402,11,9,0,0,9,0
1346,16,17,0,0,17,0
1359,35,48,0,0,48,0
1362,19,26,0,0,26,0
1365,9,7,0,0,7,0
1366,21,20,0,0,20,0
1382,47,55,0,0,55,0
1404,22,22,0,0,22,0
1386,32,43,0,0,43,0
1323,11,13,0,0,13,0
1347,26,40,0,0,40,0
1360,22,22,0,0,22,0
1394,21,22,0,0,22,0
1356,22,31,0,0,31,0
1350,17,18,0,0,18,0
1372,12,11,0,0,11,0
1357,24,23,0,0,23,0
1352,31,44,0,0,44,0
1403,21,23,0,0,23,0
1392,21,23,0,0,23,0
1369,13,10,0,0,10,0
1349,21,21,0,0,21,0
1290,32,36,0,0,36,0
1391,19,22,0,0,22,0
1410,16,17,0,0,17,0
1371,8,6,0,0,6,0
1329,20,23,0,0,23,0
1380,33,34,0,0,34,0
1411,17,15,0,0,15,0
1422,18,23,0,0,23,0
1423,29,31,0,0,31,0
1340,42,48,0,0,48,0
1417,24,25,0,0,25,0
1343,14,17,0,0,17,0
1317,22,30,0,0,30,0
1412,32,35,0,0,35,0
1413,25,26,0,0,26,0
1342,18,19,0,0,19,0
1406,25,28,0,0,28,0
1291,55,76,0,0,76,0
1309,29,34,0,0,34,0
1430,12,11,0,0,11,0
1426,20,20,0,0,20,0
1425,25,30,0,0,30,0
1331,24,25,0,0,25,0
1419,21,26,0,0,26,0
1299,24,25,0,0,25,0
1375,27,33,0,0,33,0
1337,20,20,0,0,20,0
1427,24,28,0,0,28,0
1429,29,37,0,0,37,0
1428,17,17,0,0,17,0
1318,8,6,0,0,6,0
1305,12,11,0,0,11,0
1296,19,24,0,0,24,0
1405,14,14,0,0,14,0
1301,22,24,0,0,24,0
1322,20,22,0,0,22,0
1367,14,15,0,0,15,0
1313,13,14,0,0,14,0
1297,11,14,0,0,14,0
1308,25,25,0,0,25,0
1292,34,48,0,0,48,0
1328,15,14,0,0,14,0
1332,45,50,0,0,50,0
1418,20,26,0,0,26,0
1385,23,27,0,0,27,0
1287,31,40,0,0,40,0
1300,22,23,0,0,23,0
1383,39,49,0,0,49,0
1324,20,25,0,0,25,0
1288,23,25,0,0,25,0
1295,5,5,0,0,5,0
1335,40,45,0,0,45,0
1293,10,10,0,0,10,0
1327,20,22,0,0,22,0
1376,49,67,0,0,67,0
1344,18,19,0,0,19,0
1325,18,19,0,0,19,0
1319,6,4,0,0,4,0
1326,22,26,0,0,26,0
1420,27,32,0,0,32,0
1311,32,43,0,0,43,0
1286,30,38,0,0,38,0
1307,22,23,0,0,23,0
1341,18,21,0,0,21,0
1312,26,31,0,0,31,0
1310,25,30,0,0,30,0
1416,23,26,0,0,26,0
1338,19,21,0,0,21,0
1378,58,113,0,0,113,0
1303,32,48,0,0,48,0
1409,14,13,0,0,13,0
1336,22,24,0,0,24,0
1289,16,14,0,0,14,0
